fact_key,video_sk,channel_sk,views_count,likes_count,dislikes_count,comments_count,engagement_rate,virtual_revenue,grab_date,_batch_id
3093,3093,656,562397,3200,345,0,0.0063,1124.79,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3094,3094,-1,2020,31,2,0,0.0163,4.04,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3095,3095,9345,841767,3700,680,0,0.0052,1683.53,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3096,3096,3844,6714,45,0,0,0.0067,13.43,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3097,3097,9685,7055,475,14,0,0.0693,14.11,2019-11-19 01:26:37.067,run_initial_20260725_085047_7fde
3098,3098,3417,1602675,4200,300,0,0.0028,3205.35,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3099,3099,9272,101260,149,32,0,0.0018,202.52,2019-11-19 03:17:14.573,run_initial_20260725_085047_7fde
3100,3100,1299,389043,3900,603,0,0.0116,778.09,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3101,3101,-1,11364,129,5,0,0.0118,22.73,2019-11-19 00:48:09.640,run_initial_20260725_085047_7fde
3102,3102,4061,1175347,15000,714,0,0.0134,2350.69,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3103,3103,10652,102084,354,13,0,0.0036,204.17,2019-11-19 01:04:26.153,run_initial_20260725_085047_7fde
3104,3104,12495,76352,176,23,0,0.0026,152.7,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3105,3105,10042,503120,2100,50,0,0.0043,1006.24,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3106,3106,2062,197393,701,48,0,0.0038,394.79,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3107,3107,-1,312293,4900,540,0,0.0174,624.59,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3108,3108,8989,5098896,9000,999,63,0.002,10197.79,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3109,3109,9764,826378,1700,736,0,0.0029,1652.76,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3110,3110,5105,159198,644,111,0,0.0047,318.4,2019-11-14 03:55:29.603,run_initial_20260725_085047_7fde
3111,3111,-1,175902,3800,163,0,0.0225,351.8,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3112,3112,-1,85121,2300,330,0,0.0309,170.24,2019-11-18 09:57:42.287,run_initial_20260725_085047_7fde
3113,3113,-1,123217,2000,250,0,0.0183,246.43,2019-11-20 16:51:24.983,run_initial_20260725_085047_7fde
3114,3114,7904,131989,1900,65,0,0.0149,263.98,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3115,3115,10507,10541930,39000,8000,0,0.0045,21083.86,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3116,3116,7995,664371,3400,469,0,0.0058,1328.74,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3117,3117,6640,2291395,7400,1500,0,0.0039,4582.79,2019-11-20 12:55:08.783,run_initial_20260725_085047_7fde
3118,3118,7831,1726101,5800,308,0,0.0035,3452.2,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3119,3119,9346,71748,308,82,0,0.0054,143.5,2019-11-14 00:54:03.767,run_initial_20260725_085047_7fde
3120,3120,3016,5938,47,2,0,0.0083,11.88,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3121,3121,10428,815550,3200,296,0,0.0043,1631.1,2019-11-20 15:33:50.757,run_initial_20260725_085047_7fde
3122,3122,9920,183750,0,0,0,0.0,367.5,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3123,3123,4123,16396,184,10,0,0.0118,32.79,2019-11-19 06:55:16.933,run_initial_20260725_085047_7fde
3124,3124,-1,9395,6,3,0,0.001,18.79,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3125,3125,7219,95481,878,94,0,0.0102,190.96,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3126,3126,5308,672170,6500,597,6,0.0106,1344.34,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3127,3127,-1,33814,96,5,0,0.003,67.63,2019-11-14 02:41:46.837,run_initial_20260725_085047_7fde
3128,3128,-1,90583,1000,174,0,0.013,181.17,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3129,3129,5549,1975362,24000,2200,0,0.0133,3950.72,2019-11-21 18:00:37.213,run_initial_20260725_085047_7fde
3130,3130,13478,54902945,431000,23000,0,0.0083,109805.89,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3131,3131,-1,43389,205,7,0,0.0049,86.78,2019-11-19 07:56:48.390,run_initial_20260725_085047_7fde
3132,3132,4846,3054878,21000,2300,0,0.0076,6109.76,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3133,3133,11949,3980913,6100,1600,0,0.0019,7961.83,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3134,3134,1720,312189,3400,198,0,0.0115,624.38,2019-11-19 00:10:03.847,run_initial_20260725_085047_7fde
3135,3135,7478,270487,2000,328,0,0.0086,540.97,2019-11-18 10:22:44.007,run_initial_20260725_085047_7fde
3136,3136,13453,3633,95,4,0,0.0273,7.27,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3137,3137,-1,166867,5400,162,0,0.0333,333.73,2019-11-17 08:33:06.230,run_initial_20260725_085047_7fde
3138,3138,11449,328442,4400,194,0,0.014,656.88,2019-11-19 04:43:44.467,run_initial_20260725_085047_7fde
3139,3139,5927,38730,292,8,0,0.0077,77.46,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3140,3140,8793,10378,139,8,0,0.0142,20.76,2019-11-18 06:43:06.247,run_initial_20260725_085047_7fde
3141,3141,5829,3009622,21000,1000,0,0.0073,6019.24,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3142,3142,7926,24887,176,16,0,0.0077,49.77,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3143,3143,7423,1114715,39000,338,0,0.0353,2229.43,2019-11-18 10:14:05.723,run_initial_20260725_085047_7fde
3144,3144,10141,388536,15000,637,0,0.0402,777.07,2019-11-21 17:26:35.307,run_initial_20260725_085047_7fde
3145,3145,13294,111309,355,74,0,0.0039,222.62,2019-11-19 07:32:17.900,run_initial_20260725_085047_7fde
3146,3146,5073,17037,475,19,0,0.029,34.07,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3147,3147,-1,908425,15000,1000,0,0.0176,1816.85,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3148,3148,-1,1318196,1800,1000,0,0.0021,2636.39,2019-11-20 13:54:06.223,run_initial_20260725_085047_7fde
3149,3149,35,946819,16000,1100,0,0.0181,1893.64,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3150,3150,5321,8856,453,9,0,0.0522,17.71,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3151,3151,7995,1097175,7500,621,0,0.0074,2194.35,2019-11-18 08:24:32.123,run_initial_20260725_085047_7fde
3152,3152,-1,100749,312,31,0,0.0034,201.5,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3153,3153,3929,336920,2000,112,0,0.0063,673.84,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3154,3154,853,2163831,15000,639,0,0.0072,4327.66,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3155,3155,6098,788,11,4,0,0.019,1.58,2019-11-14 02:38:36.937,run_initial_20260725_085047_7fde
3156,3156,4912,96836,1300,45,0,0.0139,193.67,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3157,3157,2279,966530,3300,1200,0,0.0047,1933.06,2019-11-20 13:54:08.033,run_initial_20260725_085047_7fde
3158,3158,10654,29235,117,15,0,0.0045,58.47,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3159,3159,-1,3258,44,2,0,0.0141,6.52,2019-11-18 08:56:04.207,run_initial_20260725_085047_7fde
3160,3160,5031,26675,61,11,0,0.0027,53.35,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3161,3161,6880,63422791,361000,10000,0,0.0058,126845.58,2019-11-19 09:16:07.860,run_initial_20260725_085047_7fde
3162,3162,12536,28702,79,6,0,0.003,57.4,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3163,3163,2474,31130,631,4,0,0.0204,62.26,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3164,3164,12346,682498,4300,668,0,0.0073,1365.0,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3165,3165,10895,94136,383,334,0,0.0076,188.27,2019-11-18 11:10:06.107,run_initial_20260725_085047_7fde
3166,3166,4105,533574,1900,342,0,0.0042,1067.15,2019-11-19 00:02:27.660,run_initial_20260725_085047_7fde
3167,3167,-1,606,0,0,0,0.0,1.21,2019-11-13 23:10:34.327,run_initial_20260725_085047_7fde
3168,3168,-1,85809,981,87,0,0.0124,171.62,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3169,3169,12802,82291,250,20,0,0.0033,164.58,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3170,3170,-1,71565,327,31,0,0.005,143.13,2019-11-19 06:47:22.730,run_initial_20260725_085047_7fde
3171,3171,6340,1396,29,5,0,0.0244,2.79,2019-11-14 04:15:36.753,run_initial_20260725_085047_7fde
3172,3172,4,621018,2300,500,0,0.0045,1242.04,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3173,3173,7345,459200,1300,119,0,0.0031,918.4,2019-11-18 23:21:53.960,run_initial_20260725_085047_7fde
3174,3174,351,287918,975,235,0,0.0042,575.84,2019-11-19 09:04:05.030,run_initial_20260725_085047_7fde
3175,3175,2317,1054190,10000,1200,0,0.0106,2108.38,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3176,3176,-1,11190,95,4,0,0.0088,22.38,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3177,3177,3134,420408,6600,114,0,0.016,840.82,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3178,3178,5669,93340,754,13,0,0.0082,186.68,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3179,3179,3119,8557775,71000,2100,0,0.0085,17115.55,2019-11-18 08:45:59.197,run_initial_20260725_085047_7fde
3180,3180,4061,6470301,151000,4000,0,0.024,12940.6,2019-11-19 04:29:11.990,run_initial_20260725_085047_7fde
3181,3181,5818,17496,155,62,0,0.0124,34.99,2019-11-13 22:28:40.977,run_initial_20260725_085047_7fde
3182,3182,3985,7096247,29000,1300,0,0.0043,14192.49,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3183,3183,-1,54990,1900,117,0,0.0367,109.98,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3184,3184,11327,1883457,7200,1000,0,0.0044,3766.91,2019-11-18 06:18:30.463,run_initial_20260725_085047_7fde
3185,3185,1297,765213,10000,328,0,0.0135,1530.43,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3186,3186,-1,575542,3200,267,0,0.006,1151.08,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3187,3187,6927,5197,84,3,0,0.0167,10.39,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3188,3188,2279,393646,2000,356,0,0.006,787.29,2019-11-20 14:11:54.390,run_initial_20260725_085047_7fde
3189,3189,2438,230921,1600,80,0,0.0073,461.84,2019-11-20 07:55:53.203,run_initial_20260725_085047_7fde
3190,3190,3242,34307,1000,23,0,0.0298,68.61,2019-11-19 05:22:46.413,run_initial_20260725_085047_7fde
3191,3191,5829,464468,1500,191,0,0.0036,928.94,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3192,3192,13218,550393,15000,628,0,0.0284,1100.79,2019-11-18 06:07:25.000,run_initial_20260725_085047_7fde
3193,3193,11703,3741,50,12,0,0.0166,7.48,2019-11-13 22:48:33.377,run_initial_20260725_085047_7fde
3194,3194,-1,5625,25,2,0,0.0048,11.25,2019-11-19 00:21:51.113,run_initial_20260725_085047_7fde
3195,3195,10474,9156,58,4,0,0.0068,18.31,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3196,3196,3119,15954223,184000,23000,0,0.013,31908.45,2019-11-18 08:45:04.910,run_initial_20260725_085047_7fde
3197,3197,-1,712484,3100,337,0,0.0048,1424.97,2019-11-19 00:02:52.490,run_initial_20260725_085047_7fde
3198,3198,1382,12410,189,15,0,0.0164,24.82,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3199,3199,4011,2102,28,0,0,0.0133,4.2,2019-11-20 12:52:57.210,run_initial_20260725_085047_7fde
3200,3200,1323,1503460,1300,53,0,0.0009,3006.92,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3201,3201,616,29400,342,122,0,0.0158,58.8,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3202,3202,-1,69048,195,26,0,0.0032,138.1,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3203,3203,2142,24251,500,24,0,0.0216,48.5,2019-11-21 18:49:09.587,run_initial_20260725_085047_7fde
3204,3204,-1,35674,151,35,0,0.0052,71.35,2019-11-20 15:16:53.007,run_initial_20260725_085047_7fde
